"etag_id";"etagt_id";"etagt_language";"etagt_text";"etag_parent_id";"etag_weight";"etag_type"
"1005";"1153";"fr";"Onde T inversée écovatrice d'une embolie pulmonaire";"966";"576";"Normal"
"1014";"1155";"fr";"Onde T négative";"965";"577";"Normal"
"1017";"1157";"fr";"antérieure étendue";"1014";"578";"Associé"
"1018";"1159";"fr";"septale (V1-V2)";"1014";"579";"Associé"
"1019";"1161";"fr";"apicale (V3-V4)";"1014";"580";"Associé"
"1020";"1163";"fr";"latérale (V5-V6 Di aVL)";"1014";"581";"Associé"
"1021";"1165";"fr";"inférieure (DII DIII avF)";"1014";"582";"Associé"
"1022";"1167";"fr";"postérieure (V7-V8-V9)";"1014";"583";"Associé"
"1023";"1169";"fr";"droite (V3R V4R)";"1014";"584";"Associé"
"1015";"1171";"fr";"Onde T négative physiologique";"1014";"585";"Normal"
"1016";"1173";"fr";"V1-V3 chez le jeune adulte (pas d'onde T inversée)";"1015";"586";"Associé"
"1024";"1175";"fr";"Onde T bifide";"965";"587";"Normal"
"1025";"1177";"fr";"Onde T ample";"965";"588";"Normal"
"1026";"1179";"fr";"Onde T plate";"965";"589";"Normal"
"1027";"1181";"fr";"Onde U anormale (Onde U > onde T)";"965";"590";"Normal"
"2233";"1183";"fr";"secondaire à une tachycardie";"965";"591";"Associé"
"2234";"1185";"fr";"antérieure étendue";"965";"592";"Associé"
"2235";"1187";"fr";"septale (V1-V2)";"965";"593";"Associé"
"2236";"1189";"fr";"apicale (V3-V4)";"965";"594";"Associé"
"2237";"1191";"fr";"latérale (V5-V6 Di aVL)";"965";"595";"Associé"
"2238";"1193";"fr";"inférieure (DII DIII avF)";"965";"596";"Associé"
"2239";"1195";"fr";"postérieure (V7-V8-V9)";"965";"597";"Associé"
"2240";"1197";"fr";"droite (V3R V4R)";"965";"598";"Associé"
"2241";"1199";"fr";"diffuse";"965";"599";"Associé"
"1028";"1201";"fr";"Anomalie de la durée du QT";"0";"600";"Catégorie"
"1029";"1203";"fr";"QT long";"1028";"601";"Normal"
"1030";"1205";"fr";"QT long secondaire";"1029";"602";"Normal"
"1031";"1207";"fr";"QT long d'origine médicamenteuse";"1030";"603";"Normal"
"1034";"1209";"fr";"QT long d'origine métabolique";"1030";"604";"Normal"
"1041";"1211";"fr";"QT long secondaire à une bradycardie";"1030";"605";"Normal"
"1046";"1213";"fr";"QT long congénital";"1029";"606";"Normal"
"1049";"1215";"fr";"QT long congénital de type 1";"1046";"607";"Normal"
"1052";"1217";"fr";"QT long congénital de type 2";"1046";"608";"Normal"
"1055";"1219";"fr";"QT long congénital de type 3";"1046";"609";"Normal"
"1058";"1221";"fr";"QT long congénital de type > 3";"1046";"610";"Normal"
"1769";"1223";"fr";"phénomène R sur T";"1029";"611";"Associé"
"1063";"1225";"fr";"QT court (QTc <= 320 ms)";"1028";"612";"Normal"
"1064";"1227";"fr";"Anomalie métabolique";"0";"613";"Catégorie"
"1065";"1229";"fr";"Hypokaliémie";"1064";"614";"Normal"
"1069";"1231";"fr";"Hyperkaliémie";"1064";"615";"Normal"
"1074";"1233";"fr";"Hypocalcémie";"1064";"616";"Normal"
"1076";"1235";"fr";"Hypercalcémie";"1064";"617";"Normal"
"1078";"1237";"fr";"sus-décalage ST pathologique";"1076";"618";"Associé"
